Gene_Name,Control 1,Control 2,Experimental 1,Experimental 2,Control3,Control4,Control5,Control6,Control7,Experimental10,Expeirmental11,Exp12,Exp13,Exp14,Exp15,Exp16,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22
1398,2425,3887,1049,2354,1485,3572,4786,760,3278,3922,3874,2610,825,932,3868,1366,1356,2516,1505,2307,554,1060,44,961,2377,486,445,572,232,3785,3418,4943,3881,2600,1628,1013,2943,3860,3919,1795,3815,1916,4418,2592,3179,3667,2644,3747,3896,2479,161,2368,2114,841,3125,2459,1000,1320,1064,1420,2485,4808,4278,1203
1399,3247,2482,3918,1777,2612,261,1056,2913,4471,806,3346,1396,851,4714,729,4548,1794,1424,551,4531,1410,1161,1974,1591,4103,1547,1467,4326,1844,4597,1581,3394,4048,2419,2100,1409,2244,3001,2012,411,3003,1397,4684,2272,4527,309,544,2428,485,4044,2262,559,1283,510,4615,1497,2453,3148,2785,3825,2789,4903,1808,2314
1400,3039,2708,1065,2633,532,2965,2390,2602,1403,4779,4878,3562,3248,987,4303,2107,3399,2522,2952,3816,1296,61,2728,2635,1174,2064,2540,1098,4076,4501,3412,516,285,1715,3228,4507,4467,4762,1197,2488,1664,2518,1968,1511,1626,1200,3197,220,3456,1042,2131,187,1373,2684,3723,3044,4198,4863,176,402,3273,2369,324,1216
1401,786,257,4135,4813,3672,3909,845,2276,2552,4780,1462,2253,4172,307,3508,4326,3499,512,2921,2812,1899,3188,1097,2235,593,4950,1110,4595,3591,2833,2911,2289,4630,1118,1999,1594,2224,4850,1395,2893,2661,429,3858,4799,2846,931,3905,4089,727,3879,4529,2653,4024,953,4225,4411,2838,1452,2899,178,4785,4266,2132,4694
1402,200,309,1938,2512,4911,4393,4106,2218,3436,166,968,3779,4850,2723,1498,1189,443,1265,3394,3618,107,3220,2983,4219,3610,4516,101,3546,532,3380,3211,1572,406,2682,4630,3585,1176,519,2655,3799,3040,4355,1547,3568,1079,3896,3508,1509,1734,3294,773,897,1657,2647,2051,4043,4247,1409,849,4330,936,3112,3179,3173
1403,1719,305,1993,2694,4136,1519,2279,2585,2557,2773,1386,4403,825,2813,3793,16,3112,4347,1304,3023,4770,4056,1850,1256,3272,134,4334,4996,1729,3027,3380,1596,2701,764,1279,1698,1493,3966,573,3379,1235,4716,4868,1476,2932,2579,3632,1432,4763,3219,3522,1853,2620,4230,2343,2501,864,821,4063,1117,257,4711,3677,4783
1404,2002,360,1653,3281,669,2770,1575,675,1087,4009,383,3472,3921,3742,1426,2649,941,2730,4712,4354,3989,1719,3435,1454,4942,153,2897,4215,3916,3998,944,2718,4417,1577,4945,4585,2723,3592,1402,3621,2496,3544,4311,4504,2427,4020,2350,2076,3785,4535,2388,1236,3499,4839,3443,3588,4721,2626,1264,1527,2324,384,2030,707
1405,3372,1442,3837,4942,3834,1948,4244,4204,1715,2586,4791,2673,641,193,1831,3680,416,741,856,2394,467,2052,4870,3549,2751,2327,1553,2285,3235,3794,422,3736,534,2776,221,3461,2004,1946,4227,4067,3877,3629,1157,4274,2678,1977,579,1199,1610,228,93,4741,4719,3435,3270,1679,1591,595,2532,3864,2847,3360,649,2037
1406,4973,3410,749,1057,4404,3938,757,2226,2092,1996,4515,1289,2917,1041,1102,2248,4604,3236,2308,2718,1398,4978,1497,382,3720,1018,2721,1072,579,3134,945,1647,3048,3818,2115,1359,356,3246,1075,1322,2425,2535,2038,2486,1717,1163,3294,4931,3926,2815,4058,2852,2252,4856,4113,3025,2770,3351,219,2090,4215,33,3325,3592
1407,2606,2043,1962,3115,4877,3547,2065,3720,3735,1332,3570,2326,3467,2081,2862,2600,3110,4327,1166,164,1026,1405,2169,2466,711,1253,1731,1904,1341,2863,1492,4056,1822,1214,727,3687,450,1875,3973,3988,369,2398,4573,4289,4534,2456,3006,302,521,28,139,4587,1789,3007,3525,3203,2529,113,628,420,1831,2720,4623,2928
1408,4141,1727,66,826,4133,4653,2560,2359,3173,1481,1613,4096,4374,1173,198,4172,2193,956,3466,2420,3005,4521,662,3827,2513,473,1715,2426,4605,512,336,1689,1525,35,3199,3429,4500,2195,2996,2557,458,373,1277,1394,455,2045,4247,1294,1172,483,423,2128,1026,634,3943,3411,1,2603,172,350,1329,1367,2872,3884
1409,4987,178,1079,1298,1822,4013,2591,2834,3143,4145,3964,4613,780,2750,1688,1839,141,3224,3530,3138,933,1041,1455,1005,864,4617,4051,4802,4401,2787,2255,3800,4351,4136,70,1596,1617,4789,2949,1221,382,4844,176,2835,419,406,1752,3025,2699,2437,4958,4425,2697,429,396,4047,1228,3467,860,2889,2529,2929,1477,1467
1410,2934,3562,863,317,3477,1288,508,607,4923,4615,1249,619,1575,1451,2401,2122,1789,2616,420,2863,3937,4419,2796,137,3693,1989,4933,4930,4737,2672,1711,3608,1222,2709,4040,2806,4367,3441,174,2297,2609,4865,3870,432,3679,1673,541,2314,1871,4863,1015,3752,4686,1996,3078,1947,2796,4581,4594,2577,4442,270,4902,4714
1411,3433,682,3286,2877,2544,954,3377,3072,559,454,2896,4278,1573,3911,3427,2049,2668,3235,1020,1874,1824,3449,619,2030,4412,1531,2232,2932,2113,2344,4499,1277,3826,4314,40,2259,1672,2653,4460,3452,3391,199,980,1277,4906,1183,2688,2789,3003,4083,4439,1809,3118,3942,1617,2578,34,1201,1444,4827,43,1841,1347,2338
1412,3599,4772,4973,192,4731,249,2416,4845,1546,4624,4843,4797,60,2698,5,2522,2700,689,4545,3968,4276,2590,870,1522,1599,3444,2388,3965,917,1770,3333,1351,3792,890,3732,3231,1206,232,107,814,22,1670,4117,616,2229,2515,871,271,1248,2197,2215,4536,3710,77,3519,2030,2837,1310,3686,1116,1688,160,4875,3579
1413,2540,2704,3905,1315,1256,2404,4219,850,44,3340,1602,2359,3165,838,183,4496,1441,4913,4472,1627,3321,4034,3688,1783,4821,1403,2078,1596,3603,2662,4166,4952,3515,1654,2023,3552,2628,1510,808,1366,2529,3953,2075,3200,2108,3607,4565,2374,4569,2568,820,3781,4399,2746,1598,2312,2492,2670,3924,625,2150,2303,1098,2563
1414,479,80,2275,2440,1963,1945,1756,687,4336,445,1552,967,2315,2883,1631,1069,3034,3669,1771,3308,2058,4182,1560,3104,2241,3012,4708,2593,2480,295,2896,4233,139,4359,3191,2932,100,812,2706,437,2635,1758,3233,4142,3918,2368,3359,4458,620,3062,4044,3950,1275,3009,2732,92,1773,2882,347,1731,2430,3901,3462,909
1415,418,3819,2452,3625,2330,3441,379,4000,3367,4068,3339,3622,2167,3148,4169,739,1079,133,870,1330,2710,308,3295,76,4576,4266,1602,3405,4674,4606,799,130,3006,2330,3019,2255,2978,1903,3255,915,12,2377,639,1849,2731,2638,4191,34,1181,819,562,3904,3320,1465,1029,3415,2571,2830,3910,2681,2431,355,1366,824
1416,239,4779,4325,2821,3563,1116,1557,2716,533,2089,1676,4545,1912,196,967,984,3837,4580,3061,3843,4739,1523,1871,2285,538,4584,2649,1215,2621,2019,2404,1308,3972,4007,1432,4899,4875,341,1310,77,3250,1139,2675,1926,1644,2080,555,1939,1077,4659,1814,156,1920,3058,4717,1410,1711,4237,4085,4746,3261,2905,4949,1533
1417,1513,4071,532,1425,3357,2231,4094,3952,3328,1536,1395,2071,4830,887,4876,1227,3734,1665,3472,941,1213,3127,3479,3566,645,4131,4227,3322,1132,1930,3025,3825,3158,1795,1989,1958,2868,1670,3203,991,4440,1023,4338,4561,2915,559,550,2449,3304,3300,1144,3160,419,1311,2374,1819,989,181,2734,951,1835,1438,3589,3600
1418,637,4289,2393,801,1602,1768,470,2707,3425,507,1661,3882,1906,2663,37,4822,1805,2285,2511,4988,4209,4364,1730,1901,4081,1999,909,2924,3510,4304,188,4171,2316,1891,450,2373,904,3650,354,3301,678,563,3974,4300,3929,2530,3765,921,1135,1816,3517,606,4949,1656,2134,2112,4666,3039,4483,4475,36,4885,3590,4252
1419,3143,2160,3994,1344,3539,1676,2332,1576,3305,2304,3053,3839,1430,5,2382,131,4958,260,4992,2444,1732,2223,3902,348,4193,4936,2820,1450,4993,1943,693,3039,1536,1463,4326,4102,1625,153,2809,3967,1181,4478,2833,2059,4273,2563,3905,4322,4887,2041,2474,1827,434,2769,3388,2741,327,4684,3050,2335,1209,3642,3783,3787
1420,4050,1382,1333,3104,3512,1529,4210,4888,1299,556,1238,2740,3796,3843,2556,2349,476,3752,2378,1229,2354,183,4595,3193,860,1052,4532,3698,3782,3027,2442,74,3856,3208,2400,347,3807,4404,2965,1842,1743,3586,3984,1116,2354,670,4015,4372,3893,3007,460,49,3416,1989,4588,128,2122,1179,4084,3036,4296,2796,2898,3223
1421,4834,1734,1674,2609,3981,1983,245,2370,1383,885,4906,4845,4543,1901,3093,3684,3493,2397,3575,2476,2071,3217,3215,3987,956,2494,2940,1876,2012,107,3573,882,3853,3420,3570,3870,3928,1652,4309,1761,2584,2935,1878,4622,4336,4164,202,4992,3820,4476,735,4116,4498,2383,2086,3309,3978,1080,4921,1576,14,2400,3422,1637
1422,69,3564,3169,879,4114,3005,1601,1465,3842,3316,4161,3434,1487,4528,2858,1424,541,2653,1644,4229,37,3294,738,316,1046,1017,3558,460,4081,963,3715,2810,2450,560,2422,4417,2111,4431,1504,2334,3395,3603,3798,443,3703,4105,719,1964,2182,3523,4477,4877,4612,3153,2825,4762,314,3768,2903,1551,2669,2831,4432,3486
1423,1622,2637,2630,921,3760,3112,2054,3161,331,1024,3306,1346,2518,4104,1217,77,692,4153,4161,232,4102,2917,2041,254,2144,3886,607,4996,3607,1258,530,2387,2509,510,802,2738,4578,1295,2008,4520,1666,2542,4274,2396,1516,1154,3358,1516,2056,642,1567,1221,3306,4888,3529,3224,892,4239,3359,3001,1069,2016,2085,4584
1424,3901,1243,2483,2130,1029,1493,865,1927,1873,4487,3561,2172,1763,15,3228,2275,4892,1376,1988,4418,4408,4583,1485,1898,1064,3639,4434,2555,4116,4661,747,462,4607,2372,3564,681,515,2245,2725,656,2682,183,1366,2010,1123,3503,3611,3676,3271,3624,2685,2655,1055,461,4509,4970,3459,296,612,354,2079,329,2121,4405
1425,1078,2482,1496,1451,2287,2107,1901,994,3437,3378,2542,3609,1159,4839,1675,4049,3320,397,235,2586,1076,1920,3335,3380,2460,4742,1371,481,2658,3018,1911,1224,1127,4540,3331,3382,1695,326,300,3443,1959,2144,2548,3149,2883,3309,4693,4889,2608,2841,664,1314,1494,386,2271,2394,2253,3887,2536,3124,3528,1967,512,4750
1426,3596,4785,4864,1609,1565,1051,3993,4745,1405,1883,34,2184,993,3596,648,4309,4817,2592,4787,3131,2110,1595,1385,2606,3199,2082,1374,4233,4464,331,2573,869,3463,407,1665,1022,3673,3848,3429,1772,4165,4558,2996,2966,3964,1962,3511,567,3500,3978,550,1192,3107,3428,641,619,575,3274,2287,4175,1457,4246,4448,3176
1427,1566,511,4985,3237,4807,3182,3684,3868,4272,184,4816,2097,1440,197,4712,3282,1400,3050,4381,2030,4702,4841,502,133,2266,3374,812,255,729,255,3995,3908,4421,1997,1824,4967,3004,1656,3651,3665,1760,2185,4158,4350,3321,3675,469,4546,4524,3152,1704,2850,693,890,2709,349,306,3818,3028,594,2740,4025,685,1764
1428,2883,162,2289,4503,1375,645,2862,2544,658,1547,4708,1088,3098,1324,2644,3051,3570,4615,1713,1822,3067,843,241,56,2018,4316,2054,424,3568,3636,2623,3866,4416,4065,4346,1213,677,2520,3995,3738,3715,626,2097,4242,1949,3060,2382,3689,2787,2452,3154,4021,2943,3676,2281,3935,1402,2605,4550,4454,913,1223,4636,2937
1429,3075,2757,4607,4582,3791,4825,3927,2919,1425,2420,1056,1383,4967,383,3701,2975,3043,3766,2466,3184,4925,579,2652,3149,3538,837,3038,4365,649,4521,1209,1061,2680,1237,2691,1372,18,1840,2342,325,3441,3451,4071,856,6,2622,3261,307,1579,1615,1614,4321,977,1256,4762,1908,223,4102,445,4561,4827,732,19,1576
1430,4170,3987,1620,4119,3341,4594,4688,4788,3419,311,1249,421,4865,165,884,1666,3316,4063,1467,4943,1923,3460,1492,2169,1962,2031,540,442,954,3536,1937,3069,3644,3030,3716,968,871,3565,1324,1358,1629,3345,4084,1750,4725,1039,1372,2723,4870,4467,1834,3981,3642,2740,4732,3107,4783,2436,2621,4326,1632,1608,2068,3470
1431,710,2895,4290,3119,867,1733,755,1713,970,1045,42,327,2149,2991,4330,3416,3545,683,2308,4708,2715,2676,1593,3855,3563,512,3914,1975,614,4186,380,2839,1097,1535,845,2088,685,3822,384,391,3432,852,2,4729,286,1249,3617,1556,2193,3006,2487,3408,1324,4608,2621,4757,1058,4750,4004,2418,335,2733,1365,4232
1432,3610,4167,4255,3703,127,3844,350,4711,714,748,2771,4277,4417,1565,102,46,277,80,4593,1427,1680,1278,4232,2344,571,778,782,395,3682,1345,1351,4307,2209,3477,3058,2143,3653,542,4292,3569,3333,4330,2865,405,1641,4928,543,1948,1355,4447,3620,825,3833,704,4813,3489,584,1410,2345,2558,4954,4167,4766,1480
1433,3817,241,4232,1309,490,611,4516,3214,271,3708,2738,2120,566,2308,1372,964,1584,696,4289,4775,1921,931,1716,1695,2850,207,3671,1873,2416,3462,3960,201,2353,1211,2145,1078,3245,4825,1951,4839,3424,1746,2562,4395,4070,951,3689,1393,1284,3164,3228,1966,1222,3282,2897,850,1585,375,2349,1862,974,3486,709,2096
1434,4032,4572,3439,1308,3182,1010,2336,4734,1586,492,1667,3906,298,4464,2159,1453,4665,1717,1896,2998,2568,1357,1788,1782,2904,4746,2273,4018,4578,1165,1637,503,3097,4959,346,2760,65,2059,5,493,1799,1258,4176,3297,4296,931,856,4407,1104,4225,1674,2552,1294,2966,3653,205,391,640,2392,836,4593,1021,1190,1167
1435,3477,2509,142,4897,3137,1889,845,4000,4239,4582,1451,2108,4519,3835,3095,914,587,1965,3185,1969,2046,2270,1838,2945,114,3559,4486,3111,3662,4351,4206,1895,1156,918,4986,1961,2718,4008,4333,4291,2944,1643,4769,4051,4374,3053,2316,2550,1302,2447,1181,3370,792,4541,794,3286,3479,1834,2553,1934,3576,1086,1276,1005
1436,2922,3580,2294,2061,457,2930,2096,634,4614,1957,4726,2365,4335,670,271,3627,2190,2512,1154,1830,1211,326,2401,4515,1669,2460,4996,4200,172,174,3246,1544,741,2814,3518,4444,982,1954,798,3599,1272,3688,3065,3226,1835,2312,1722,880,3464,735,1523,2020,3085,3103,3988,1874,3501,3207,829,4691,3033,4076,3689,4314
1437,2914,2052,4743,1350,847,1835,1337,1554,4584,2587,2155,3469,2941,195,748,1371,1189,1140,1935,6,3823,806,2244,3973,102,1688,247,2472,2865,4089,4354,3342,2268,3078,2453,3771,1087,3750,2337,3460,3619,3276,3023,2464,2713,3614,3744,448,1798,3868,2123,3023,4910,1419,1758,4023,89,937,1535,3262,545,132,4002,3405
1438,4289,1991,2587,3738,4971,3311,4341,424,2403,2761,3371,2120,320,4671,3538,3844,694,1983,3488,4567,79,4567,1836,957,4724,1943,822,2256,3924,2139,2328,1591,4974,4266,4891,4911,1329,4992,4082,781,4469,4293,1889,4540,2182,332,545,4002,1659,1392,3689,2115,3174,1044,2907,2026,1644,4281,3147,2533,1227,3331,2325,2489
1439,3690,651,2092,3568,3491,4497,3471,1328,3883,4168,4163,3901,452,808,3414,2667,4903,2082,4467,1770,1952,3792,257,306,1329,2253,4361,2299,3068,4074,4292,4112,2598,3900,52,1471,1148,2013,3775,3606,3241,3569,340,3037,2967,3729,12,4216,1379,3022,1535,4630,3110,495,839,829,1635,638,4392,4950,468,2118,1294,1565
1440,1159,1031,2043,2491,243,4443,2459,3334,4433,3654,656,2397,1018,83,981,1709,4336,1407,3714,4969,4785,4670,804,4490,3593,186,4916,453,1326,978,4483,4800,63,4595,1221,4830,3956,3711,638,1706,2455,1375,1869,3273,1489,4461,52,826,3876,3196,2618,1644,3659,4897,3040,3191,4010,550,2417,125,89,4104,2902,2229
1441,4617,1805,1090,3316,3618,257,2478,619,2985,2664,3492,3031,4618,3361,3884,3582,130,1571,1436,3093,2408,1553,1112,4526,1589,2827,234,1060,3662,14,958,1393,735,1187,3443,4504,2216,2889,626,91,1215,3222,486,4748,2326,2262,624,3812,2357,3894,2321,4163,2906,3895,3623,1437,366,4440,639,480,4484,3825,3167,1830
1442,4452,664,3458,3000,2691,3540,413,4896,4012,3833,393,3288,4643,3776,4072,3867,4891,3066,4074,4221,3311,999,443,1519,1205,1398,4578,1341,4195,275,1725,932,4370,1577,2349,757,2918,21,316,231,3959,1452,448,1361,171,959,414,4658,1172,1286,3701,2371,2312,2222,592,91,2857,4961,4147,2527,4054,1795,4757,2494
1443,4597,3870,303,4295,61,4822,4167,4069,374,835,33,2498,3775,398,3268,3759,1149,2127,4236,2322,1801,1688,1805,3635,3073,4403,3175,4744,942,1470,1608,511,2500,2908,259,2591,3013,2046,4494,4681,1758,4274,693,838,2825,4975,4255,434,2669,4895,3201,4857,516,3096,1040,1255,1234,2520,2551,1239,1800,1264,4943,2694
1444,4944,424,2067,4581,684,1235,2972,1835,419,2549,174,2874,2104,1273,4125,3455,4713,101,1783,3837,1319,1227,248,4842,2033,3171,177,2455,4356,3007,2698,2952,4753,904,1664,297,291,4113,4868,4977,3380,2990,11,3100,2667,4974,3242,4021,408,2398,3944,3836,847,2419,4529,4648,4654,1652,1617,620,2817,112,1839,4573
1445,1179,2406,1870,4801,456,2424,2185,431,2601,2747,4718,3220,2602,1733,577,4214,86,1803,3996,2874,3875,3783,616,1345,2754,1797,513,74,21,1091,2561,4252,4108,718,3211,1520,1187,2630,2789,1832,731,1186,313,2692,1192,559,923,2060,1041,4327,4459,4535,3320,2555,1240,2194,885,3791,2163,1396,4056,225,3133,1304
1446,2233,494,2873,3457,3146,3185,92,2593,3477,4034,860,4256,2925,1723,3242,4202,4514,522,3017,3579,2094,1465,1055,2595,2257,4884,4237,618,3691,212,3835,3640,1865,120,1343,244,4409,3060,2838,1075,2253,4429,3163,2398,3333,1592,1192,932,3381,334,1563,664,4411,1391,1186,4861,3079,2018,4824,4839,4914,3847,2920,4495
1447,2111,4297,1077,986,519,2887,38,4418,4329,4200,2115,3746,2644,4611,2693,4863,3761,644,2117,472,1931,4433,4194,1525,1385,423,1850,638,3666,1038,1215,3452,4514,944,2980,2530,2817,1012,4275,2178,2679,4149,4096,839,3890,2760,874,2744,3457,1399,737,4265,4463,514,2053,949,2225,4229,1172,198,3586,523,4793,2351
1448,3532,2090,937,2596,933,1275,2653,3106,2532,3247,2576,4167,1216,4375,4593,81,292,1169,3495,509,2658,3661,4750,548,4238,565,1341,3227,4543,4204,1671,629,122,1561,1163,4118,1670,2083,4734,1034,4218,312,1309,457,2880,4608,2642,4737,767,1281,3760,4322,1151,233,3262,3040,4088,4374,1534,4695,4024,2348,987,3988
1449,2612,3240,3846,4277,4572,2930,2786,3696,1297,2462,4210,1000,1754,4304,3462,3359,2822,2705,3605,3937,3264,1418,442,2952,3717,4027,4661,720,607,2447,1896,2784,3950,256,2793,3360,3105,1333,4117,3517,2264,1881,1135,3497,3119,3068,4292,3292,1713,1503,4392,1430,1297,4195,2044,2432,599,2421,1282,2265,2515,1338,1690,1235
1450,3898,1778,1001,851,4462,3307,3120,2004,1943,4662,2007,2721,3517,882,624,1203,244,212,2287,2130,4101,1300,2228,3753,3080,1372,3796,4408,2246,64,3837,412,4233,4628,3759,4940,3812,704,2673,2491,3882,420,3140,3130,762,3624,2763,3193,2780,580,1537,2328,3124,867,106,4441,3331,3615,4945,1589,1783,2342,3691,2309
1451,4068,3230,1972,2261,1651,1800,1954,829,3671,3269,2772,746,1829,159,3394,267,4527,1690,769,2099,4127,4953,4669,1028,320,1616,2870,4125,3551,1451,4103,453,1422,4986,4610,1057,4686,1448,4879,3756,3268,3304,1423,1659,1610,3722,3697,424,2046,590,610,825,3545,2301,190,3880,2412,2423,1891,1613,2080,2390,562,4505
1452,3869,1955,4066,2737,1618,526,4963,136,748,3860,1875,4078,35,3629,2288,2955,2733,704,2361,2931,4706,2365,2337,4532,3021,2112,383,1342,103,1907,1738,3421,1389,3664,1702,4180,2615,1278,4572,730,4866,889,2919,4070,1713,3003,4337,1873,3494,270,4681,40,2110,4069,75,2497,4502,2379,888,843,4420,3871,4538,4277
1453,401,248,1421,3048,3637,4405,2684,1689,943,4832,480,839,4883,2638,31,1165,1645,1089,126,128,1224,4835,2632,2425,4575,4972,4408,3672,1889,3201,3760,2298,71,2437,3968,2216,3424,2985,834,2499,1829,990,3833,3225,2895,4472,2140,2180,4872,4637,1461,1267,1286,848,970,4271,2146,565,2387,4813,2136,2001,4551,1675
1454,3030,3364,4722,3312,2854,3160,4649,4669,1926,3185,4274,311,3165,2377,3407,1650,987,4371,292,2121,4643,2982,564,1877,174,2104,659,1057,3948,1917,2544,13,4109,4353,4605,397,4191,3130,106,1738,1556,4431,2427,2068,1715,3039,4191,2528,1345,3175,4064,2956,981,3653,3878,2546,4405,300,510,86,3285,1539,739,2878
1455,787,810,2406,4440,3821,4116,4727,3992,2178,1781,3025,142,2705,517,4361,218,1409,1196,4819,4720,3708,3964,55,3129,3979,4969,1618,1454,3654,4656,4067,322,1948,3927,428,3847,1277,2556,554,1438,4076,3102,2051,3248,2477,4789,3,4400,4685,2821,211,1490,806,2501,3579,399,3265,1199,1799,366,3180,3876,2664,1235
1456,3789,636,1127,4379,2664,2325,767,4845,1781,4060,1977,294,2739,653,917,3612,2874,2576,2448,3246,1185,2362,2259,203,1120,2589,2034,251,3066,4317,2140,4977,2380,2866,3300,3898,2401,4317,3312,2904,1123,3083,2863,3582,1981,677,3947,1699,3400,1232,4882,2457,4105,741,4929,4418,1852,3334,3917,2144,4991,2522,3757,1479
1457,2992,3291,2299,4032,3902,575,3666,3198,1818,1208,50,3975,4055,2362,4470,3931,2341,2590,3041,2265,2370,1177,3299,3730,3377,2425,3010,458,4356,1354,3719,2818,4219,2479,3498,3899,2743,1900,646,4820,1071,1773,380,1074,967,492,928,2284,3820,628,4014,523,4893,1385,3528,1360,462,1674,1593,116,3,2532,310,3885
1458,3014,2332,4225,3774,1117,827,3667,1830,2380,3183,2964,4025,4485,4145,92,2260,806,4686,2085,1799,4272,1332,2882,804,2371,3664,3351,1386,1103,553,1078,3980,3844,2819,3575,2779,3800,4262,1037,2961,4686,1840,815,1370,3004,4466,1544,1982,3677,1428,1240,1586,3786,2984,4056,2861,4731,2028,2362,2435,525,837,568,1989
1459,2831,2125,2173,4729,719,1652,4336,4448,677,2777,166,3528,428,2009,2545,237,4867,3970,2860,3259,2862,2101,3139,1629,4552,4838,4140,2800,3434,2865,3149,1905,2742,400,1357,2264,826,2026,1325,4367,71,1881,2203,2152,4033,4752,4855,1096,2972,3618,3243,846,791,3197,2125,186,3393,4414,2062,494,3370,101,3923,3251
1460,4061,3060,2088,151,3034,4106,2736,1527,2314,4888,3539,414,4536,1147,3238,898,2381,900,3630,2018,2950,3617,254,901,972,2117,4917,5,3386,4224,4087,3032,3419,3633,210,3723,2721,2462,2847,1576,4366,256,3061,610,1849,3291,931,1208,4539,1863,3002,3333,2774,2795,2623,3512,2151,2374,2089,3383,2002,3573,3848,45
1461,3415,441,2977,546,1926,4098,2681,3115,59,4078,583,2575,4950,2213,1340,1391,2823,4586,2514,3904,4692,988,102,3088,1853,2108,3622,4897,4386,2808,4564,2716,3854,523,1731,2740,2905,2179,1694,4397,1165,2326,3870,4234,289,2865,3350,2864,157,38,2172,1161,1894,416,1775,1770,298,3971,3913,4845,957,2935,560,991
1462,4878,2455,2743,3745,2767,61,1450,2651,2934,1753,1135,1936,1088,3114,705,4062,695,1756,1135,4413,2001,3019,1883,4595,1449,2813,3504,4041,1430,1,2762,2590,3910,1566,3457,2960,1104,237,2397,1266,4042,2822,60,2005,1568,356,3161,618,1391,4574,3234,1988,2243,3991,1487,4685,3195,1547,4635,3878,1134,109,943,4599
1463,1920,781,997,4256,1679,4770,177,1871,4664,11,3351,2874,2375,384,365,257,3107,437,4169,2986,3308,3081,4495,2277,4970,2753,4098,1047,3639,4821,1806,4264,1189,381,2536,716,126,823,3527,4315,1463,934,1052,3474,1773,392,4659,3093,1191,8,4563,3088,79,4205,588,4758,42,3376,4081,965,2388,1389,2015,3993
1464,2538,722,4397,1320,862,1092,4456,412,985,2438,524,3222,3276,4518,226,1489,2482,360,4701,2317,2183,2093,2997,1886,1341,1344,334,232,2267,2855,3435,1823,709,3755,1303,442,4663,648,299,4540,4282,2282,1651,1141,3084,696,2365,1400,3321,1055,2520,2238,2979,4943,4343,3078,100,3671,3841,3409,4559,2839,415,2368
1465,2025,328,2731,3604,4688,2012,576,1864,4274,2652,2901,4446,4672,4081,4776,1516,3492,1290,1489,4233,4123,3579,3026,71,3855,683,4621,2276,551,3008,1191,640,2905,3060,4530,1353,140,1845,85,4423,2167,1368,152,1148,3661,3003,480,4522,1519,2448,3629,4865,1361,413,2374,276,3440,2701,4502,4105,2364,837,3374,3529
1466,3790,4364,338,2852,2508,989,2135,2997,2231,2562,1680,666,3731,3903,1798,436,3181,253,243,2238,1509,3003,730,515,3817,2068,1763,3373,1488,898,1098,1179,3104,4924,2078,853,2352,723,2977,3727,3286,97,640,4500,1606,1570,1330,3441,4265,3012,3216,4522,3761,2444,1320,1150,4987,293,4061,306,4866,4684,2063,1721
1467,4060,387,2644,231,2086,2990,4196,3658,1605,4010,3910,1868,2269,1462,4005,3278,3643,4603,4257,258,419,4790,4776,1784,981,2540,4130,4990,481,2569,4749,162,3897,1098,2784,1816,2473,937,4982,4224,1053,1652,4470,4292,2856,1858,1305,880,3223,3626,4680,3061,1684,1059,2741,2540,1273,1835,1660,454,1111,1733,4321,701
1468,2732,451,4850,857,3976,1371,4640,2300,560,585,4044,4661,1641,2327,475,1070,3099,1279,3985,146,199,4646,647,2849,4855,2773,232,1491,1589,4330,2553,2978,2685,1289,1978,2710,2278,7,3625,1458,1260,3884,2778,2516,1945,3632,4037,3073,4698,3482,851,1821,251,3318,1241,4287,3161,329,1497,3147,4657,3694,3339,1111
1469,1231,2029,4299,2519,3821,778,4641,1817,2796,3036,3046,2977,1046,1690,1633,3710,2393,4754,3893,4762,3712,2181,892,1358,4811,944,3555,1497,4203,2915,2300,2263,1286,2051,2097,4645,598,2691,4145,4035,3572,862,137,1036,3770,2582,3950,540,1015,1381,3244,4357,3416,1700,154,905,1714,780,1856,77,3133,1011,4650,1392
1470,3903,573,1907,1388,701,481,4784,4403,1478,3319,2188,2003,542,4475,771,3186,1619,3223,4290,1921,4954,611,2314,910,714,2419,1621,2522,2407,3745,3876,4019,487,4256,4694,4032,4370,740,2509,996,1977,4094,451,1879,4617,3157,1493,3930,2886,3347,1039,871,129,4800,37,798,4398,4527,3421,1688,595,4453,335,1291
1471,3431,4780,2139,2602,2059,4251,3550,1287,2912,183,2600,4404,1020,4987,1352,2919,4731,1418,1985,409,1601,1123,2449,368,3195,842,2853,1532,3284,1037,1085,596,1650,594,3808,857,3003,1454,2842,963,238,1839,2722,4266,3669,937,339,1722,3900,2381,1011,8,3380,446,2167,533,4110,3129,4327,1033,4286,1373,1727,3844
1472,4296,2419,590,3604,3901,2669,4878,194,4867,2812,3043,2592,4606,2851,4943,1093,4125,250,3516,372,1239,305,1267,104,3673,2909,4669,1999,4606,2651,2286,2149,4917,444,3838,2896,2649,3926,4513,1747,540,4721,1901,3063,478,2544,4556,2135,3287,2386,1746,1432,15,3431,3199,2527,344,3934,3221,891,84,376,1193,532
